kpi_id,metric_id,metric_name
1,1,Total Energy Delivered to Colombo City Via GSS during the six months.
1,2,Total of the Boundary Meter Readings of Colombo City during the six months.
1,3,Total Embedded Generation in Colombo City during the six months.
1,4,Billing ? Retail Sales of Colombo City during the six months.
1,5,Billing ? Bulk Sales of Colombo City during the six months.
1,6,Total Street Lighting energy in Colombo City during the six months.
1,7,Total energy of Temporary Connections in Colombo City during the six months.
1,8,Net Metering Generation in Colombo City during the six months.
1,9,"
Total Energy Delivered to Central Province Via GSS during the six months. 
"
1,10,"
Total of the Boundary Meter Readings of Central Province during the six months. "
1,11,"
Total Embedded Generation in Central Province during the six months. 
"
1,12,"
Billing ? Retail Sales of Central Province during the six months. 
"
1,13,"
Billing ? Bulk Sales of Central Province during the six months. 
"
1,14,"
Total Street Lighting energy in Central Province during the six months. 
"
1,15,"
Total energy of Temporary Connections in Central Province during the six months. 
"
1,16,Net Metering Generation in Central Province during the six months. 
1,17,Total Energy Delivered to Eastern Province Via GSS during the six months. 
1,18,"Total of the Boundary Meter Readings of Eastern Province during the six months. 
"
1,19,"
Total Embedded Generation in Eastern Province during the six months. "
1,20,"
Billing ? Retail Sales of Eastern Province during the six months."
1,21,Billing ? Bulk Sales of Eastern Province during the six months. 
1,22,Total Street Lighting energy in Eastern Province during the six months. 
1,23,Total energy of Temporary Connections in Eastern Province during the six months. 
1,24,Net Metering Generation in Eastern Province during the six months. 
1,25,Total Energy Delivered to NCP Via GSS during the six months.
1,26,Total of the Boundary Meter Readings of NCP during the six months.
1,27,Total Embedded Generation in NCP during the six months.
1,28,Billing ? Retail Sales of NCP during the six months.
1,29,Billing ? Bulk Sales of NCP during the six months.
1,30,Total Street Lighting energy in NCP during the six months.
1,31,Total energy of Temporary Connections in NCP during the six months.
1,32,Net Metering Generation in NCP during the six months.
1,33,"
Total Energy Delivered to Northern Province Via GSS during the six months. 
"
1,34,"
Total of the Boundary Meter Readings of Northern Province during the six months. 
"
1,35,"
Total Embedded Generation in Northern Province during the six months. 
"
1,36,"
Billing ? Retail Sales of Northern Province during the six months. 
."
1,37,"
Billing ? Bulk Sales of Northern Province during the six months. 
"
1,38,"
Total Street Lighting energy in Northern Province during the six months. 
"
1,39,"
Total energy of Temporary Connections in Northern Province during the six months. 
"
1,40,"
Net Metering Generation in Northern Province during the six months. 
"
1,41,Total Energy Delivered to NWP Via GSS during the six months.
1,42,Total of the Boundary Meter Readings of NWP during the six months.
1,43,Total Embedded Generation in NWP during the six months.
1,44,Billing ? Retail Sales of NWP during the six months.
1,45,Billing ? Bulk Sales of NWP during the six months.
1,46,Total Street Lighting energy in NWP during the six months.
1,47,Total energy of Temporary Connections in NWP during the six months.
1,48,Net Metering Generation in NWP during the six months.
1,49,"
Total Energy Delivered to Sabaragamuwa Province Via GSS during the six months. 
"
1,50,"
Total of the Boundary Meter Readings of Sabaragamuwa Province during the six months. 
"
1,51,"
Total Embedded Generation in Sabaragamuwa Province during the six months. 
"
1,52,"
Billing ? Retail Sales of Sabaragamuwa Province during the six months. 
"
1,53,"
Billing ? Bulk Sales of Sabaragamuwa Province during the six months. 
"
1,54,"
Total Street Lighting energy in Sabaragamuwa Province during the six months. 
"
1,55,"
Total energy of Temporary Connections in Sabaragamuwa Province during the six months. 
"
1,56,"
Net Metering Generation in Sabaragamuwa Province during the six months. 
"
1,57,"
Total Energy Delivered to Southern Province Via GSS during the six months. 
"
1,58,"
Total of the Boundary Meter Readings of Southern Province during the six months. 
"
1,59,"
Total Embedded Generation in Southern Province during the six months. 
s."
1,60,"
Billing ? Retail Sales of Southern Province during the six months. 
"
1,61,"
Billing ? Bulk Sales of Southern Province during the six months. 
"
1,62,"
Total Street Lighting energy in Southern Province during the six months. 
"
1,63,"
Total energy of Temporary Connections in Southern Province during the six months. 
"
1,64,"
Net Metering Generation in Southern Province during the six months. 
"
1,65,"
Total Energy Delivered to Uva Province Via GSS during the six months. 
"
1,66,"
Total of the Boundary Meter Readings of Uva Province during the six months. 
"
1,67,"
Total Embedded Generation in Uva Province during the six months. 
"
1,68,"
Billing ? Retail Sales of Uva Province during the six months. 
"
1,69,"
Billing ? Bulk Sales of Uva Province during the six months. 
"
1,70," 
Total Street Lighting energy in Uva Province during the six months. 
"
1,71,"
Total energy of Temporary Connections in Uva Province during the six months. 
"
1,72,"
Net Metering Generation in Uva Province during the six months. 
"
1,73,Total Energy Delivered to WPN Via GSS during the six months.
1,74,Total of the Boundary Meter Readings of WPN during the six months.
1,75,Total Embedded Generation in WPN during the six months.
1,76,Billing ? Retail Sales of WPN during the six months.
1,77,Billing ? Bulk Sales of WPN during the six months.
1,78,Total Street Lighting energy in WPN during the six months.
1,79,Total energy of Temporary Connections in WPN during the six months.
1,80,Net Metering Generation in WPN during the six months.
